data\ca\1156009\10237568\456617595.html,Hotel The Blossom,"""Can't tell enough good things about this place. It's the cleanest place I have visited till date. The quality of fixtures, linen and everything is top notch. - No, I am not paid to write this :) The staff is equally friendly, courteous and helpful, including the watchman who was out there looking after my bike in parking.\nGreat job guys, really happy to have stayed here.",5,positive
data\ca\1156009\10237568\461940044.html,Hotel The Blossom,"""I stayed here with friends for a night halt on my way to Ahmedabad. \nBooked it from a website with a great discount. \nIt's right on the high-way (NH48) so very convenient.\nThe hotel seems to be new so everything is in good shape. Rooms are good. Hotel has it's own parking. We had to check-out at 6 a.m. and hence requested for a tea\u002Fcoffee\u002Fbread-butter at 6 a.m. which we got so we are happy with the service.",4,positive
data\ca\1156009\10237568\465717089.html,Hotel The Blossom,"""We booked a few hours earlier during travel, checked in late and were to leave early the next day. We had an efficient checkin experience. They have clean, comfortable and spacious rooms. Good sleep quality. Next day we were pleasantly surprised to find our car washed and ready to go very early. Did not experience food. Overall very nice experience.",5,positive
data\ca\1156009\10237568\468170151.html,Hotel The Blossom,"""hotel is situated near the main road but still location is so so. rooms are specious and having good ambience. hotel is having roof top restaurant and free wifi. complimentary breakfast is available on booking.",4,positive
data\ca\1156009\10237568\479504591.html,Hotel The Blossom,"""The rooms were nice and clean, and the staff attitude was good. The breakfast was disappointing though. There's parking available outside the hotel, which itself is located right on NH8, hence easy to locate.",4,positive
data\ca\1156009\10237568\485507163.html,Hotel The Blossom,"""Easy room booking , Awesome room service , best service of food and tasty meal  , nice parking space , nice breakfast really loved it , near to Daman , best visiting place near to hotel , free WiFi with great speed ",5,positive
data\ca\1156009\10237568\485801983.html,Hotel The Blossom,"""As a person who travels quite often for work, Hotel  Blossom Vapi, tops my choice whenever I travel to Vapi. Very clean rooms, accessible from the railway station and close to NH 8. Moreover, Delicious array of breakfast and dinner, super fast wifi, friendly staff, there's everything that can make a traveler comfortable here. Highly recommended.",5,positive
data\ca\1156009\10237568\487253650.html,Hotel The Blossom,"""at the onset a very beautiful property in a very scenic location it was amazing experience we are really enjoyed a lot everything was awesome wonderful stay with friend .staff member was very friendly and supportive food service environment everything was very good.",5,positive
data\ca\1156009\10237568\488166328.html,Hotel The Blossom,"""One must stay in this property as each staff is very much courteous awesome food. Great service beautiful property the breakfast spread could do with some variety. Best hotel of Vapi. \nClose to the highway and very spacious.",5,positive
data\ca\1156009\10237568\488605173.html,Hotel The Blossom,"""hotel is quite good as far as room service staff, ambience, infrastructure is concerned. one line feedback, they need a good restaurant manager. food is ok, not excellent. overall a nice stay. rooms are spacious too.",4,positive
